hx,hy,hz
-1.9721075495888937e-01,-7.3626875860100260e-01,6.4731463233630337e-01
-9.0868831545127218e-02,-6.4371130153671807e-01,-7.5985433849358774e-01
-8.4691841794678413e-01,4.5135424130024093e-01,-2.8108458193718194e-01
2.5969426952432340e-01,8.1240862635850886e-01,5.2206427783799647e-01
7.2920872152691874e-01,1.8944770022019333e-01,-6.5754407405918935e-01
-3.4710105016989595e-02,-9.4943511935656000e-01,-3.1203871994049748e-01
3.8766904282857789e-01,-3.0057063002017581e-01,8.7141838952460082e-01
-2.7316318935003669e-01,8.6542486480035652e-01,4.2002580321856509e-01
-9.6022776826385292e-01,-2.7155359811273561e-01,-6.4971350663561439e-02
2.3845515353998445e-01,-6.7647714220332467e-01,-6.9679108477839002e-01
1.9721075495888937e-01,7.3626875860100260e-01,-6.4731463233630337e-01
