hx,hy,hz
1.9464899294218366e-01,-2.8163209736612926e-01,9.3957178080216364e-01
-3.4328371015687287e-01,-7.7498839626235572e-01,-5.3061217475632250e-01
-6.2052178046802720e-01,7.7975631374274135e-01,-8.3263504268803287e-02
4.2209775924015180e-01,-1.2452812588981293e-02,9.0646478646611894e-01
6.7260918946018788e-01,2.6072999991643458e-01,-6.9254367760978441e-01
-8.2676330539939968e-01,-3.5582258473058143e-01,-4.3572092564014808e-01
4.4729904093275186e-01,-7.1756423984360707e-01,5.3387744818292038e-01
-1.4079248364306127e-01,8.1460155533219769e-01,5.6267377991157808e-01
-7.4296707311820953e-01,-9.7077613144587335e-02,-6.6225060610641273e-01
8.4359298247629411e-01,2.7314941311741925e-01,-4.6232053602491063e-01
1.9464899294218366e-01,-2.8163209736612926e-01,9.3957178080216364e-01
